retailer,brand,product_count,brand_rank
FDS GmbH,COSTWAY,2,1
FN,Limana,1,1
Fantasie Blau,Luckyfine,1,1
Fashion Wacky.,Fashion Wacky.,1,1
Fashion and Sports,MisterTee,1,1
Fashion and Sports,Fashion and Sports,1,1
Fashion and Sports,Obsessive,1,1
Feldherr GmbH,Feldherr,6,1
Figuren Shop GmbH,Figuren Shop GmbH,1,1
Fine Goods Trading,autolock,1,1
FineBuy,Wohnling,2,1
Finest Trachten,Country Line,1,1
Firma Hommel GbR,Kerbl,1,1
Fit4Style Silberschmuck - IMPPAC,Lotus,6,1
Fit4Style Silberschmuck - IMPPAC,GoldDream,2,2
Fit4Style Silberschmuck - IMPPAC,Amello,1,3
Fit4Style Silberschmuck - IMPPAC,Festina,1,3
Fit4Style Silberschmuck - IMPPAC,Fonderia,1,3
Fit4Style Silberschmuck - IMPPAC,Jennifer Jones,1,3
Fit4Style Silberschmuck - IMPPAC,OOZOO,1,3
Fit4Style Silberschmuck - IMPPAC,Robin Ruth,1,3
FixFone,Dooloo,1,1
Flieks,Flieks,1,1
Foto Erhardt GmbH,nielsen,1,1
Foto Erhardt GmbH,Panasonic,1,1
Fotoalben-Discount,EXACOMPTA,3,1
Fotoalben-Discount,Henzo,1,2
Fotoalben-Discount,ZEP,1,2
Frankonia,Pinewood,2,1
Frankonia,Reitmayer,2,1
Frankonia,Barbour,1,3
Frankonia,camel active,1,3
Frankonia,Bogner,1,3
Frankonia,VON & ZU,1,3
Frankonia,Luis Steindl,1,3
Frau Wundervoll,Frau WUNDERVoll,1,1
Furnicato,furnicato,1,1
G-S4LL,Stella Maris,3,1
GMD Living,GMD Living,1,1
GOLDBLACK,GOLDBLACK,2,1
GOLDNER,GOLDNER,3,1
GRÄWE,GRÄWE,1,1
GUGGEN Mountain,GUGGEN Mountain,1,1
GUTE MARKEN,Kleo,1,1
GUTE MARKEN,Codello,1,1
GUTE MARKEN,VIA APPIA DUE,1,1
GUTE MARKEN,FRAPP,1,1
Ganz Einfach,Brandson,2,1
