retailer,brand,product_count,brand_rank
elbandi.de,Tamaris,1,1
eluno24,bremermann,1,1
engbers,Engbers,1,1
engelhorn,Meru,1,1
engelhorn,Marc O'Polo DENIM,1,1
engelhorn,deuter,1,1
eurotrade,TRIXIE,1,1
eurotrade,Hunter Tierbedarf,1,1
expendio,expendio,4,1
feldmann-wohnen,Feldmann-Wohnen,3,1
fit4form GmbH,LEAN Toys,1,1
found4you,House Doctor,2,1
found4you,Applicata,1,2
funpreis,safta,1,1
funpreis,PASO,1,1
gutline,Gotui,2,1
hausratplus,Rösle,1,1
haustechnikpartner24,Salgar,1,1
haustechnikpartner24,hansgrohe,1,1
heimtexhandel24,Casa Colori,1,1
heyconnect,nedis,2,1
heyconnect,Shabbies Amsterdam,1,2
heyconnect,MaDam-T,1,2
heyconnect,LOVE MOSCHINO,1,2
heyconnect,Jimmy Sanders,1,2
heyconnect,include,1,2
heyconnect,Emilia Lay,1,2
heyconnect,THAT GORILLA BRAND,1,2
heyconnect,Chipolo,1,2
heyconnect,Prestije,1,2
heyconnect,Basler,1,2
heyconnect,JEVELION,1,2
heyconnect,Zwillingsherz,1,2
hobbyshop-mona,Goula,1,1
hobbyshop-mona,Orchidea,1,1
hofstein,hofstein,1,1
https:#ft5_slash##ft5_slash#optimamoebel.de#ft5_slash#,optimawohnen,1,1
https:#ft5_slash##ft5_slash#www.carpetia.de#ft5_slash#shop_content.php?coID=4,Carpetia,2,1
ib-style GmbH,ib style,1,1
ich-zapfe,ich-zapfe,1,1
in-trading Handelsgesellschaft mbH,LAZY LEAF,1,1
in-trading Handelsgesellschaft mbH,EASYmaxx,1,1
in-trading Handelsgesellschaft mbH,MAXXMEE,1,1
incubado,VERDOBA,1,1
iz-el,iz-el,2,1
keepdrum,Schlagwerk,1,1
keepdrum,Tech 21,1,1
kletterbude,Entre Prises,1,1
koka.shop,Hama,1,1
kuechen-preisbombe,Küchen-Preisbombe,2,1
könige Hausedeko GmbH,Köhko,1,1
leuchtenladen,Rabalux,2,1
linovum,linovum,1,1
malito,malito more than fashion,1,1
mamino fashion,mamino Kindermode,1,1
mantraroma,mantraroma,9,1
marussia,Riolis,2,1
matches21 HOME & HOBBY,matches21 HOME & HOBBY,6,1
mediadeal GmbH,quadral,1,1
meinemarkenmode,Blend,2,1
meinemarkenmode,Ichi,1,2
minifink Kindermode,Loud&Proud,1,1
mirapodo #ft5_slash# myToys,Mattel®,2,1
mirapodo #ft5_slash# myToys,Name It,2,1
mirapodo #ft5_slash# myToys,OVS,2,1
mirapodo #ft5_slash# myToys,Boley Where the action is!®,2,1
mirapodo #ft5_slash# myToys,LEGO® Wear,1,5
mirapodo #ft5_slash# myToys,Amewi,1,5
mirapodo #ft5_slash# myToys,Carrera®,1,5
mirapodo #ft5_slash# myToys,Just Bridge Entertainment,1,5
mirapodo #ft5_slash# myToys,Rose et Chocolat,1,5
mirapodo #ft5_slash# myToys,MICHAEL KORS,1,5
mirapodo #ft5_slash# myToys,Learning Resources,1,5
mirapodo #ft5_slash# myToys,People Wear Organic,1,5
mirapodo #ft5_slash# myToys,Melon,1,5
mirapodo #ft5_slash# myToys,Sanetta,1,5
mirapodo #ft5_slash# myToys,UGG,1,5
mirapodo #ft5_slash# myToys,Lynfield,1,5
mirapodo #ft5_slash# myToys,Ty®,1,5
mirapodo #ft5_slash# myToys,Paul Vesterbro,1,5
mirapodo #ft5_slash# myToys,Happy People,1,5
mirapodo #ft5_slash# myToys,SES Creative,1,5
mirapodo #ft5_slash# myToys,Zapf Creation®,1,5
mirapodo #ft5_slash# myToys,Engel,1,5
mirapodo #ft5_slash# myToys,MyToys-COLLECTION,1,5
mirapodo #ft5_slash# myToys,CARS JEANS,1,5
mirapodo #ft5_slash# myToys,TROLLKIDS,1,5
mirapodo #ft5_slash# myToys,Caprice,1,5
mirapodo #ft5_slash# myToys,Mayoral,1,5
mirapodo #ft5_slash# myToys,Heless,1,5
mirapodo #ft5_slash# myToys,Dogo Shoes,1,5
mirapodo #ft5_slash# myToys,Bburago,1,5
mk-tronic,Lotus Gusspfannen,1,1
modeherz,march,1,1
modeherz,Guess,1,1
moderne-wohnideen,MCW,1,1
moebel-direkt.de GmbH,möbel-direkt.de,2,1
moebel-direkt.de GmbH,Wimex,1,2
moebel17,moebel17,1,1
moebelando,möbelando,2,1
mr!trade,mtb more energy,1,1
nVOOD-Store,Artwizz,1,1
nadycat,nadycat,1,1
napo-shop.de,Warner,1,1
natürlich24,Primigi,1,1
natürlich24,BERKEMANN,1,1
natürlich24,IGI & CO,1,1
nazar-wellness,my Hamam,1,1
neuetischkultur,HTI-Living,10,1
neuetischkultur,montana-Glas,2,2
neuetischkultur,Neuetischkultur,2,2
neuetischkultur,HTI-Line,1,4
neuetischkultur,Lentz,1,4
neuetischkultur,Wüsthof,1,4
okluge,ZIPIT,1,1
onQuality,Harpa,1,1
onQuality,ATHLECIA,1,1
pbezler,BEZLIT,1,1
petit amour GmbH hamburg,petit amour,1,1
poolladen,well2wellness®,1,1
preigu,HUCH & friends,1,1
premiumXL,en.casa,7,1
rock-creek-store,Indumentum,1,1
s.Oliver,s.Oliver,6,1
s.Oliver,comma casual identity,1,2
schmuck23,schmuck23,1,1
schuhe|kaufen,camel active,1,1
schuhe|kaufen,Ecco,1,1
schuhe|kaufen,Geox,1,1
schuhe|kaufen,Think!,1,1
schuhplus - Schuhe in Übergrößen,Bullboxer,1,1
schutzfolien24,upscreen,15,1
schutzfolien24,BROTECT,14,2
schutzfolien24,Savvies,9,3
simply4you,Schiesser,1,1
sneakerprofi,Skechers,1,1
softweary,SOFTWEARY,1,1
sportboerse-shop,Bogner,2,1
sportboerse-shop,Ziener,1,2
style3,VOID,5,1
style3,style3,4,2
styleBREAKER,styleBREAKER,1,1
surf4shoes,camel active,1,1
surf4shoes,Bronx,1,1
surf4shoes,Think!,1,1
svh24,Bessey,1,1
svh24,Parat,1,1
tischsetmacher,cover-your-desk.de,1,1
tomBrook GmbH,Dry Fashion,1,1
uhrenhuette,Uhrenhuette,1,1
unbespielt,unbespielt,3,1
venize,durex,1,1
venize,Lumunu,1,1
vidaXL,vidaXL,17,1
vidaXL,Tristar,2,2
vidaXL,NOBO,1,3
vidaXL,EBI,1,3
vidaXL,Haba,1,3
voelkner - direkt guenstiger,TFA Dostmann,1,1
voelkner - direkt guenstiger,Tristar,1,1
vomadi24,Kratki,1,1
vonderpalette,VDP,8,1
wc-gestalten,Artgeist,7,1
wc-gestalten,Basera®,7,1
wc-gestalten,Posseik,1,3
werkstatt-king,DeWalt,1,1
wometo,wometo,1,1
woolloom,vidaXL,1,1
woolloom,Madison,1,1
