brand,product_count,avg_price
Garcia,2,22.99
McNeill,2,22.95
Cecil,2,22.5
Reinders!,2,22.49
Tito-Express PlatinumSerie,2,22.4
Sigikid,2,21.98
BUNGSA,2,20.99
GLOBO LEUCHTEN,2,20.34
NORDIC WORDS,2,19.9
OVS,2,19.74
Carpetia,2,19.49
Thumbs Up,2,19.45
COLOGNEBELT,2,18.9
kueatily,2,18.73
TFA Dostmann,2,18.27
Riolis,2,18.19
VALENTINO Wohnideen,2,17.97
TAN.TOMI,2,17.21
J.Jayz,2,16.99
LYSEL®,2,16.56
House Doctor,2,16.5
Burlington,2,16.5
Navaris,2,16.49
Amscan,2,16.24
Mattel®,2,14.99
Name It,2,14.49
DeFacto,2,13.9
Lilalu,2,13.24
Nalia,2,12.99
Logbuch-Verlag,2,11.9
Masbekte,2,11.54
Gedore,2,11.41
MyGadget,2,11.4
BGS technic,2,11.34
Boley Where the action is!®,2,10.99
Schnabels,2,9.74
SLABO,2,9.49
montana-Glas,2,6.99
VBS,2,2.94
Outdoor Life Products,1,22236.37
Palmako,1,3513.1
KONIFERA,1,3316.28
CHRIST,1,1999.0
Birkenstock,1,1930.0
DOMO collection,1,1899.99
GAH Alberts,1,1499.99
Sony,1,1499.0
Schenker,1,1426.44
Microsoft,1,1398.02
JOHANENLIES,1,1395.0
Apple,1,1293.71
Max Winzer®,1,1179.99
Adore,1,1159.95
dcl24.de,1,1059.0
Traser,1,1058.0
Ploß,1,999.99
Siena Garden,1,984.92
GORENJE,1,910.0
Breckle,1,879.99
ich-zapfe,1,870.91
CSL,1,859.0
Salta,1,845.0
Belid,1,815.76
Posseik,1,768.06
MAXXUS,1,710.95
Karman,1,678.0
Blanco,1,677.48
Panasonic,1,649.0
HP,1,599.99
BRUNO SÖHNLE,1,595.0
KARE,1,588.95
Gutmann Factory,1,580.99
Alpha Techno,1,579.99
Mäusbacher,1,579.99
GALLERY M branded by Musterring,1,561.0
Steelboxx,1,512.9
Moebel-Eins,1,509.0
Salgar,1,504.99
Marc O'Polo,1,499.95
EWBH,1,492.2
F2,1,480.95
HAMMERBACHER,1,475.99
march,1,467.0
EinStein Diamant,1,454.0
OKI,1,448.9
pieperconcept,1,439.0
TAINO,1,429.99
Garmin,1,424.9
K+W Komfort & Wohnen,1,419.99
furnicato,1,409.0
Stressless®,1,400.0
Almbock,1,399.99
Tech 21,1,399.9
McCulloch,1,392.61
Diamonds by Ellen K.,1,389.0
LUXWINDER,1,389.0
COLLECTION AB,1,379.99
SOFTWEARY,1,379.99
Salzen,1,379.0
Corsair,1,373.99
Aquaone,1,359.0
Norres,1,353.09
Barbour,1,349.99
Bjird,1,349.0
58 aufm Kessel,1,349.0
Scott,1,339.96
Aquagart,1,339.9
Lorelli,1,336.95
DeWalt,1,334.99
SETMA,1,334.43
Parat,1,333.99
trendteam,1,329.99
Rasch,1,328.44
Vladon,1,321.99
Marmony,1,313.07
quadral,1,299.0
Caterina Lucchi,1,299.0
Patrizia Pepe,1,298.0
SODEMATUB,1,297.49
PHILIPP PLEIN,1,289.0
well2wellness®,1,284.95
blumfeldt,1,279.99
VON & ZU,1,279.99
Carl von Zeyten,1,279.0
Diamore,1,279.0
BROOKS ENGLAND,1,270.0
Vipack,1,269.99
Shaf,1,269.9
SalesFever,1,264.99
Fortron,1,261.62
Kerbl,1,261.55
Wolff,1,259.0
